Q,A
나는 연습문제 푸는데…,나도
나만 안 나오나??..,찾았어요?
나만 안 들어왔나???,놉 저도 안들어왓어욥
나만 종강 못했냐고^^,현충일 보강 ㅅㅂ
나만 지금 안돼..??,난 잘나와
나오는 물 똑같은거야?,별도로 설치하지 않는 이상 같음
난 옷만 이쁘게 입을거,꾸안꾸
납부 아예 안하는건가?,0원 보내야해
내얼굴 미남부자 ㅇㅈ?,댓글없는거밬ㅋㅋㅋ어케ㅠ조아요누름
내일 10시가 신청임?,알고싶으면 야옹 해보세용
내일 대면인데 뭐했어?,그냥하던거하는데
내일 몇시까지 인가용?,이런건 좀 니가 찾아봐;;
내일 어디서 보는거??,공지사항에 올라왔어
내일 점심 해볼까 한데,존맛 두꺼운데도 겉바속촉하게 잘만듬
내일 제출하는거 맞죠?,기억으론 기말시험칠때 내라고 그러셨던거 같음
내일 휴강인가요????,그러게요 저는 9일만 휴강인줄알았는데..?!
낼 셤보는거 오픈북임?,ㅇㅇ 근데 보나 마나래
낼 찾으려면 없겠지??,이미 털렸대
냉동실 되나요?????,냉장고에 냉동있냐고 물으시는거면 있어요!
너네 이번꺼 몇장나옴?,1잔
너네 이번주 학교가??,ㅇㅇ 갈라궁
너무 늦게보는거 같은데,그럼 보지 마셈
너무 힘드려나...??,금공강 주말 야간2일해봣는데 할만함
농활 결과 언제 나와?,나옴
누락된건 아니겠지..?,국가는 다들어옴
눈마주치면 사귀는거다?,퉁퉁이임?
니코틴 따로 섞어야댐?,한두방울만..
다 풀수 있는거 맞음?,진짜 난이도도 그렇게 개오래걸림 돌아버리겠다
다들 공부 어떻게 함?,전공하느라 걍 훑어보기만 함ㅠ 너는?
다들 몇 점 맞았어??,점수나옴?
다들 몇시에 읽혔어??,26?
다들 뭐해나만 집이지?,너두?
다들 분량 어느정도야?,4쪽
다들 새해목표 뭐양??,니 마음 뺏는거
다들 어디꺼 좋아해??,난 탕화쿵푸 ㅎ
다들 어떻게 하고있아?,내일부터 다시 시작 ..~
다들 어케공부하고있어?,걍 피피티만 보는중
다른 거 이유가 뭘까?,차이나=중국
다시 받을 수 있음??,가서 물어봐 다시받을수 있냐고
다이소 키보드 괜히샀다,나 5만원짜리?
단타하려고 하는거임??,짤 개웃기네 ㅋㅋㅋㅋ 2022년 코스피 2000돌파도 얼마 안남았는데 ㅋㅋㅋㅋㅋ
단톡 새로 초대 됐음?,이번에 복학인데 ㄴㄴ
담배 어디서 피시나요?,집 나가서 구석
담주 수업은 없는거지?,뭔 멍멍이 소리?
답을 다르게 써야하나?,게시글 보세요 풀어드렸습니다
당일치기도 재미있나??,그럼 별로 못놀듯
대전 내에 다른 학교들,뭘 우때 관심도없지 우리같은 방구석 백수들이나 이런거 관심있지
대체 언제 제대로 펴?,중간고사 기간에
도서관인데 바람쐬고시퍼,ㄱㄱ?
동시에 신청 가능해요?,ㄴㄴ 하나만 가능
두개이상 들어갈수있음?,무슨 랩실이 학원인줄아네
두책 차이점이 뭔가요?,디자인 다르구만
둔산동 카멜같은곳?!!,은행동
둘 중 어떤게 나아요?,종문
듣는 분계신가요...?,네에
들어도 승인되나요???,타과생 전용이 따로 있어요
들어보신분 계신가요??,유성? 둔산?
들어보신분? 할만한가용,음악미술 둘다할만함  2학점짜리라 신청할때 빡셈
들으시는 분 계신가요?,ㅈ
따로 모집 또 하나요?,담배필때마다 저두 그얘기해요 다시 돌아가면 안할듯
띄어쓰기 포함인가요??,우린 미포함
ㄹㅇ인가..?  ㄱㅁㄸ,부럽누
룸메 구할 사람 많아?,그때룸메못구하는데? 걍 들어가는거임
룸메한테 미안하게시리ㅠ,절대 불가능햐 공용 공간이 넓어서 거기에 널어
맛있어엉어ㅓㅓ?????,진라면생 별루
맞으면 펌핑 지리겠지?,난 등이랑 어깨 하고 바로 맞았음
매코미붕어빵 먹고싶다!,피자붕어빵도•••먹어보고싶두..
머로 신청했는지 말해줘,나 한밭
먹어도돼? 배아플려나ㅠ,Eat
먹을만한 곳 있나요??,라니마라탕이 사실 맛있는듯 길들여졌나;
면접 어떤거 준비하냐?,준비 따로 안하고 지금 옷뭐입을까 고민중 ㅎ
몇 층이죠? 1층 말고,3층?
몇개월 이내 증명서야?,그거 올해 발급해야한대
몇개정도가 적당한가요?,나도 2개임
몇번결석이 논패인가요?,4번이지 않을까?
몇시까지 담을수 있어?,12시 되기전까지
몇시까지 하는지 알아?,쿠지
몇시에 여는지 알아??,걍 좀 전화를 해라
몇점 만점인지 아세요?,35점이라고 문자왔네요 혹시 저번주 수업 공지 없었나요? 수업을 못가서요..
몇점만점인지 아시는분?,30점!
무신사에서 구매할 예정,구매 많이 한 거 사면 중박은 치더라
문의 전화 해본 사람?,난 용기가 아직 안난다... 먼저 문의 넣어줄 용자 없나...
뭐 괜찮은 거 있나??,참치마요에 불닭
뭐 물어보나요?? ㅠㅠ,"시간표, 사는 곳"
뭐가 더 나은거 같음?,둘다 별론딩...ㅠ
뭐가 맛있나요??추천좀,아인슈페너
뭐고? 동영상 어딨는고,그니가
뭐임 닉변하지말껄그랬네,ㅋㅋㅋㅋㅋ
뭘 들어야 할까요???,기구학 ㄱㄱ
미국 최종결과 나왔어?,나도 못 받ㅇ.ㅁ
미래동 경비실 어딨어?,인재동 1층 가셔야 돼요 미래인재 총 경비실임
"받은 사람 있어,,,?",아직 안들어왔어용
발표 뭐 하라는거에요?,내말이 3차 한글과제가 뭐에요?
방학숙제 여전히 있나?,없다던데
배달팁 2500원 줄게,ㅋㅋㅋ 어디사는데
배터리없어서 그런건가?,넹삐삐거리면 배터리없는거
보건소 언제까지하나요?,각 지역마다 달라융 직접 확인필요
보여줄 천사 없니..?,책을 아직안사갖구..
보증금같은건 어떻게되징,집주인하고 얘기해봐 재계약서류만 작성하면 되니까
보통 몇년 정도 써??,16년에산 노트북아직 잘쓰는데
복전 생각하고 있어..,N1임
복전 컷 더 높을려나?,상평인데요
복전했어??심전했어??,복전
부모님한테 연락가나 ?,대학교에서 부모님들한테 연락가는일 많이 없는데
부치는것까지 오래걸려?,우리집 근처는 얼마 안 거렸는데
분리수거 어디서하나요?,인재동 앞에 분리수거장 있어요!!
분반마다 다 달랐나요?,그건 비밀%
불라방 수강하는사람??,저 들어요 검색하다가 들어옴
비대면 수업 하는건가?,교수님이 작년 강의 계획서 올린거임
비밀번호 뭐에요? ㅠㅠ,정역학
비번 뭐야?...;;;,ㄱㅇㅅ
비율이 어느정도 되려나,키크고 마른사람은 많던데 어께가 넓은 사람은 많이 못본거같음
빵식이면 좋겠는데 제발,씨리얼만 나왕
사귀는데 얼마나 걸림?,3초
사는 거 깜빡했네...,아까 저녁 쯤에 갓을 때 많이 남아잇던데
사람 많아요??????,ㄴㄴ별로없더라
사서 한번도 안입은건데,사진을 올리셔야죠
사용하는 책 달라요??,같아요
"사용해도 되나요,,??",출처남겨
사제동행때 보통 뭐함?,밥먹음
상담신청 어떻게 하죠?,학기말에 먼저 연락주셔요
서울대:??? 그래..,카이스트: ?
서울대는 찐따집합소인가,이분들은 진짜 설거지하게 생겼으니까 그런듯 ㅋㅋ
성적 다들 어케 나옴?,시바ㅏA0
성적 안올라온거 맞지?,열받네
성적 언제 입력할거니?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ교수가 니 친구냐
성적 잘주시나요...?,나도 걱정이네
성적증명서 내야 하는뎅,무인기나 인터넷에서 출력가능
셔틀버스 지금 운영함?,한데요
션한 맥주 마시고싶은데,나랑 먹쟈
소나무동 난방 안돼지?,되는디
솔루션 있어? 사고싶다,솔루션이 필요한가?
숏패딩 어디꺼 입어??,스파오
수강 정정 언제 해요?,2일
수강신청 헤야하는데..,우리피시방은 9시!
수강신청정정기간 없어?,언제야?
수문학 실습해보신분 ?,과동 전산실 써
수업 너무 어려운데..,ㅇㅈ...이해안되면 강의 다시 돌려보라는데 하신말씀 몇번을 들어도 이해가안댐 ㅠ
수업 뭐할려나? 토론?,발표 조 짜고 수업
수업 없는게 정상이지?,왜?..
수업시간에 시험보나요?,수업시간에 공지하셨어요
수요일 5시 맞나요??,수요일 5시 15분 s2 컨벤션홀
수요일 과제 있었나요?,ㄱㅈㅅ교수님
시간 어떻게들 때우시나,걍 택시탐
시간이 같아서 고민이네,공수 ㄱ
시험 공지 해주셨나??,화요일 2시
시험 범위 포함이려나?,나도궁금..
시험 안봐도 상관없지?,철회됐으면
시험 어디서 보나요??,n4 616 2시
시험 어떻게 내시나요?,무기화학땐 오픈북이었는데 오픈북이어도 어려운정도?
시험 점수 몇점 받음?,안물어봐서 모르겠다
시험문제 영어루 나옴?,설마
시험장소 알려주셨나??,n8동 405.406호
식사 빵?? 도 파니?,조각케이크만 팔더라
신분증 지참해야되나요?,준비물에 써있음
신속항원검사 얼마나옴?,신속항원은 무료이고 검진받으면 검진료는 나올 수 있음
신청기간 아시는분..?,몰라요
신청기간 지났니 ..?,내가 알기론ㅇㅇ
신청서? 폼? 제출했당,헐 나두
신청하면 거의 되나요?,과마다 달라
신청할까말까 고민중인데,수업함
실제랑 많이 달라요 ?,네! 많이 달라요
쓰읍... 좀 비싼데?,이 글 보고 공홈 갓는데 흠...
ㅇㅅㅇ? 막걸리 땡긴다,펍앤펍스
아는 사람이 없는거야?,내가보기엔 찍는애들이 옮기는거같음
아니 이거 오타 맞지?,그런거같네
아니면 신청해야하나여?,짜준대로 신청해야 될걸요?
아니면 클로즈북이야!?,오픈북 아닐껄...? 그러면 너무 쉽잖아
아님 걍 긁어도 되나?,ㄴㄴ 등본상 지역에서만 딴대서 쓰면 걍 계좌에서 나간다
아마 내 미래일듯 한데,10시 한국사 백지 각..
아직 시간이 아닌가??,거기말고 추가모집 공지에 있눈 계좌로보내랭
아직 안올라온거 맞죠?,중간고사 생각해보면 6시 20분쯤 나올듯
아직 줌 못들어갔지??,나도 아직 못들어갔어
아직도 업댓안된건가??,그런듯
아직은 셤기간 아니지?,어딜봐서?
안되겠지…? 하….진짜,전필은 넣어주던데?
안들어도 상관없나요??,18까지는 그거로 받는 유닛 쓸모없습니다
안쓰는분 계실까요?ㅜㅜ,있어도 타인이랑 공유하는거 걸리면 다음학기 사용 불가일걸..?
안전빵으로 어디가야함?,거리 40이면 한밭관은 힘들지?
안주랑 술 안파나요??,충대는 술 팔아요
알려주실 분 있나요..,청마루 ㄱ
애플워치나 아이패드처럼,태블릿은 진짜 유용해
앱에서 어떻게 해야돼?,어차피 새벽에 수정될 가능성이 없다
어느정도 해야하나요??,평균 85정도 나오면 그쯤이지 않나?
어도비 포토샵....?,포토샵은 아닌거 같은데
어디가 젤 가까운가요?,s5동 1층??
어디가서 만나냐? 후…,고등학교
어디까지인지 아시는분?,배운 데까지
어디꺼가 가성비 좋아?,로지텍 k380
어디에 제출하는 거야?,대전에서 재발견할게 있음?
어디있는지를 모르겠다ㅠ,큐브에 a3안되나?
어때요 추움?패딩???,밤에는 추울듯?
어떻게 풀어야되나요?ㅠ,뭔 말인지 알아? 스껄? 석션 칵!
어떻게 해야하나요..?,보풀제거ㄱㄱ
어림도 없지 바로 휴학,바로 엄마 등짝 스매쉬
어제까진 떴는데....,난 어제도 안뜸 ㅋㅋ
어케 화긴하지? ㅇㅅㅇ,납부내역 통합학사에서 못 보나
언제 몇시에 보나요??,4시용
언제 여는지 아는사람?,15
언제 쯤 승인 되나요?,화요일 오후
언제까지 제출이에요??,다담준가
얼마나 일찍 가야할까?,나 늦게갔는데도 1조주던데
업무 어떤걸 주로 해?,문열고닫고
에타에 아직 안올라왔넹,월요일에 영양사님 출근하셔야 올라와요
에프인 상태면 불가임?,출결F? 가능할껄
엔팁 완전 짱짱 아님?,별로..
여가부 진짜 폐지될까?,제발 자라고
여기 원래 보수밭아님?,경남은 원래 좌파밭임
여쭤보고싶은게 있습니당,무엇?
역사와 문화 어때..?,김명진 교수님 대박좋아
연락오신분 계신가요??,저도 썼는데 안오네요.. 이정도면 떨어진거 아닐까요ㅠ
연락이 너무 뜸하네..,취준 열심히해야지잉
열람실에서 공부할 건데,무슨공부
열역학 책 필요함???,테이블 다 외울정도로 고수니?
영화 감상문 다 씀??,오늘 쓰려고
예전에는 해줬던거같은데,해줌 금액따라 얼마이상이면 무배였덛고같은데
예지관 말고 다른 데도,열람실
"오늘 날씨 어떤가교,,",따뜻한데 바람 완전 많이 불어요
오늘 날씨 어떰? 춥니,쌀쌀함
오늘 대면인가요? ㅠㅠ,비대면이라고합니다!
오늘 못하는거 아녔음?,했음..
오늘 뭐 어쩌구 라던데,나단 아케
오늘 뭐 한거 있어??,풀수업하심
오늘 아님? 왜 안열려,담주부터 아니엇냐
오늘 오픈하는거 맞어?,김가네 어디에 오픈하는데????
오늘 임차버스 운영해?,하지않나?
오늘 작품 만들어야돼?,요즘도 작품 만드는구나 그거 재밋엇는데 ㅋㅋ
오늘 저녁 …. 어때?,별로임 고등어데리뭐시기
오늘 전화하면 받나요?,에효
오늘 출석 불렀었나요?,3월까지 출석인정 해주신대요.. 그래서 담주에 걍 안나갈까생각중
오늘 하는거야 마는거야,수업함?
오늘 학식 뭐? 라는뜻,닭칼국수 충무김밥
오늘수업 비대면 맞죠?,예?
오랜만에 학교쪽 가서요,퍼펙트 기준 천원에 45분
오전 오후둘다하는거임?,시간표대로
오티때도 풀강 하세요?,뭔가 그러실 것 같아요..
온다고 미리 알려주지?,난 안알려주심
온라인 강의 올라와있네,너 출튀했어?
온라인으로 보는건가요?,ㄴㄴ 학교 나와야됨 ㅂㄷㅎ교수님이면
옷이 반팔밖에 없는데ㅜ,아우터나 긴팔좀 사
왜 날짜는 안 알려주지,ㅇㅇ 문자로 공지 왔던거 같른데
왜 딴곳에서 하는거임?,중국팀이라 그럴걸 개빡침ㅡㅡ
왜 소나무동이 붙어??,엥 거짓말 아니고? 신관도 아니고 한밭관을 180이 떨어져
왜 안뜨지 어케 봐요?,어플말고 구글에서 컴버전으로 보면 됨
왜 우린 안틀어지는거야,난 한밭관인데 그냥 알아서 나오고 있음. 에어컨에 손 갖다대면 약하게 바람 느껴짐
왜이렇게 시끄러워..?,오늘 체육대회 일껄?
왜이렇게 힘들지? 그냥,모두 다 힘든 시기다
왤캐막혀???...??,사고났나벼
외국인만 사는거같지 왜,유학생 200명이라
요새 학교헬스장 열어?,그렇다구함 밭스장 안가서 모름
용돈으로 옷사고 싶은디,8월 중순쯤?
우때...? 맛있어??,맛집임ㅇㅇ
우리 배식가격 얼마지?,백반은 4800
우리학교 군학점 있음?,없음
우리학교 축제 누구옴?,최병옥
우린 연예인 안 와 ?,축제 다음달임
운동화 몇 켤레 있어?,운동화만?
원래 국립한밭대아닌가요,전국에 국립으로 시작하는 대학교가 있음?
원정 다득점 사라짐??,네 없어졌어요
월화수목 유격?ㅋㅋㅋㅋ,ㅋㅋ 개꿀잼이겠노
유기2 어땠나요...?,벼락치기해서 그런가 그냥저냥
유럽사람들은 잠도 없나,내말이 새벽이 축구를 하냐 ㅋㅋ
음료 하나 받고 싶은데,8시 아님 9시
음식 1층에서 받아여?,1층에서 나가서 길 앞?? 흡연부스(?) 있는곳에서 받았어
음식 먹을 수 있나여?,이게 질문임?
음악의 이해 왜 확정?,뭔 일이고
이거 너무 어려운데요?,혹시 교수님한테 쪽지왔어??
이거 답 맞지 않나요?,거의 다 틀렸는데요..?
이거 맞는지 아시는분?,사례합니다
이거 살까 고민중이라서,필기용으론 ㅂㄹ 넘 작아서
이거 왜 이제야 썼지?,난 이미 쓰고 다녔지
이거 해본 사람 있음?,나도 기계공인데 하고 싶당
이것도 결석 사유 돼?,증명서 내면 가능할거같은데 선별진료소 갔다오면 그날 외출금지야
이러닝에 뭐 올라왓는데,ㅎㅁ씨는 닥 대면아님?ㅋㅋㅋ
이런 프로그램 먼가요?,컴퓨터로 하는거잖아
이렇게 빡세다고 ..?,역사덕후들을 무시하시 마라!
이메일이 기억이 안나ㅠ,o365.hanbat.ac.kr
이번 학기 상대평가임?,비대면 상대평가
이용가능한곳 있나요ㅜㅜ,도서관 5층 전산실
이유까지 같이 적어주라,관심 없음... 우리 학교는 논의도 안 됐더만
이제 닌텐도하는사람없나,나 하고있어
이준서? 선수 개멋있다,들어온 라인 ㄹㅈㄷ임
이지엔 팔까요?!!ㅜㅜ,대부분 안팔텐데..
일본어과분들 알려주세요,과제 많을 듯
일요일에도 여는지?🥺,No
일주일내내일하는건가요?,시간표 빈시간이요
ㅈㄱㄴ안 낸 사람 있니,나 1학년때 멋모르고 냈어
작년엔 얼마 받았어??,유닛60도 받을 수 있음?
잘하시는분 찾습니다..,전산구조 살려줘...
잠깐 돌아다닐건데 덥나,존나덥다
잡앗는데 어떰? ㄱㅊ?,둘다 ㄱㅊㄱㅊ
장소 어딘가요? 하시발,비밀~
재밌나요 활동 뭐해요?,탁구해요
재수강 ㄱ ? 교양인데,굳이?ㅋㅋ
재수강 어떻게 해야하지,전공은 계절없음 다음 학년에 들어야 돼
재수강 한다? 안한다?,졸업이 목적이면 안하고 취업이 목적이면 하고
재입학하면 1학년이야?,3학년에 자퇴했으면 3학년재입학되던가 기억이안나네
재즈가 뭐라고 생각해?,뚭똬뛰리라라라 뚜비뚜봐뽬빠
저 남자인데.. 가능?,남자끼리 ㄱ?
저도 남자입니다 ^ ^,사주시나요?
저만 못하겠나요...?,저번주도 못했어요
전과목 할 일은 없겠지,한개
전기기사 있겠지? 부럽,발송배전기술사도 있음
전범위  맞나요? ㅠㅠ,5장부터 7장까지요
전범위 시험범위 맞아?,어질어질하더라구요
전송 취소 안되지???,네이버 메일끼리는 될걸
전자공 갑질논란 머임?,ㅋㅋㅋㅋ 권력도 가졌으니 갑질 한번 해보고 싶으시겠지~
전자회로1 어려울까요?,회로 안들으면 당연히 어렵죠
전화 하는건 에바야??,무슨 일인데? 당장 급한거 아니면 연휴 끝나고 연락할 듯
전화하면 되는부분인가?,뭐야?
점수 나만 안나왔어??,나두~
점수 뜬 사람 없죠??,예예
점심으로 먹게 추천 좀,닭꼬치
점호 몇층까지 했나요?,3층하고 가신것같던디
정류장 어디로 가야함?,찾았다 102번
정역학 물어봐도되나요?,ㅅㅂㅎ이라 힘들구나 친구. 정역학은 안될걸 수학 물리같은것만
정해진 기간 없는거지?,통학사에 군휴학신청하면 됨
제곧내❤️💕❤️‍🔥,나오늘했어
제대로 푼 사람 있음?,ㄴㄴ없ㅇ어
제발 앞에서 보고 싶다,"근데 어디서 하려나,, 그 실내 공연장에서 하는건가"
제발 일찍 공지좀...,수업은 수업대로하고 다끝나고 공지만 30분한다 ㄹㅇ
제발요이렇게빌게요제발ㄹ,제발 ㅋㅋ
제본 보통 얼마인가요?,장 수에 따라서 달라요
젤 좋은곳이 어디야??,신세계
젭알ㅜㅜ 17학점이긴함,씹가능일거같은데
조는 언제쯤 나올까요?,개강하면?
족보 있음???? 제발,끄딴거 없다 게이야 ㅋㅋㅋㅋㅋ
족보있는 사람 있나요?,없을걸
족보있으신분 계신가요?,나두궁금..
졸업논문 몇장 쓰셨나요,캡스톤 안함?
졸업학점 몇필요하나요?,직접찾아보자
주운게 이거밖에 없는데,"홀리,,"
주제가 뭔가요?? ㅠㅠ,과제말하는거임?
줌 실강이 있어서요..,와이파이는 모르겠고 2층은 가지 마셈 담배 냄새 ㄹㅈㄷ
줌 카메라 켜야되나요?,저도 들어용
중간 오픈북이였나요…?,아닌걸로 알고있어용
중간고사 안보는건가요?,교수님 ㄴㄱ..??
중간이후 대면 확정임?,와 1학기때 해두길 잘했다...... 그 소회의를 대면으로 한다고 생각하니까 끔찍해
지금 20프로 되나용?,넹 확인해보니까 되네요 개꿀
지금 운동장에서 뭐함?,N4동소속 3개과끼리 체육대회함
지금까지 몇번 받아봄?,0번
지나가다가 기절할뻔;;,무슨의도인지 모르겠다 볼 때마다
지도에도 안 나와있던데,카페숲?
진로설계3  듣는사람?,진로설계 안열렸던데 들을수 있나요?
진짜 100문제에요 ?,아뇨 200문제뇨
질문 받아줄 사람..?,ㅇㅎㅇ?
질문 하나만 받아줘 ㅠ,ㄲ
집가까운덴 2만원 달래,난 3만원 주고 했어 그거 보건증도 됨
쪽지좀 부탁드립니다..,그 가터벨트는 제가 보관 중입니다
차끌고다니는분 어때요?,널림
찾아봐도 안나와서 ㅠㅠ,어디찾아봤어요?
책 빌릴 수 있지? ㅜ,빌릴수는 있는데 n1동가서 증명서 발급해서 가져가야함 전에 안가져갔다가 왔다갔다 하느라 ㅈㄴ 힘들엇슴 친구는 그러지마롸 ^^~...
책을 학교에 놓고왔어…,스미스 6판있어 찍어주까?
처음만날때 보통 뭐함?,커피마시면서 자기소개
첫수업이라 모르네여 ㅠ,공지 없는거보니...맞는거 같아요
총 3.3 ㅈ댓다 ㅎㅎ,죽어라 ncs 파서 공기업 가자
충대는 아이브 왔던데?,충대도 대동제는 우리랑 날짜 똑같은데 10월말
취업에 많이 불리하려나,건축과엔 많음 ㅋ
츄리닝 많이 입고다님?,ㄴㄴ 점수 따려면 슈트에 넥타이까지 하고 다녀야함
친구 사귀기 불편함??,딱히?
친구없는데 가도 되나요,일본어과는 아니지만 가는건 자유지
카드나 계좌이체 돼요?,카드 ㅇㅇ
캡디 다들 잘 되가니?,ㅈ망
컴퓨터 그래픽스 어떰?,이제 안열리는거 아니였음 또열림??
코드가 어디에 있어요?,펴낸이 말인가 지은이 말인가 거기 밑에 흰색 스티커 붙여져있는데 거기 있어요
코로나라 못나갔어서..,5월2일
"코막히고 머리아파서,,",ㅇㅇ 환절기 시즌임
코트에 니트도 추울까?,그건더워
타격큼 ????????,지각한 시간만큼 깍이는것도 있냐 ?
타코야끼 먹고 싶다 ㅠ,월 목 오셔요
타코야끼 순대 차 옴?,어젠 다꼬야키 왔더라
타코야끼 오늘 오셨나요,내
타코야끼 차 왔나요??,오늘 목요일이니까 왔을걸?
택배 보통 언제쯤와??,새벽이랑 오후3-4시
택배 어떻게 보냄???,종강후 짐 보내는거?
토질역학 노오븐북임??,누가그럼??
통세 시험 몇시죠..?,5:30?
파워포인트 있지...?,응ㅇ
파이썬 못하는거 정상?,몇학년인데?
패딩 입으면 더우려나?,저녁엔 입어야됨
편의점에서 얼만가요??,6000
편입으로 온사람있어??,나용
평균 높게 나올거같은디,난 조졌음 헷갈린거 다 틀렸네야발
포장한거 ㅇㅇ ....,딱히 애초에 나는 홍어급만 아니면 다 ㄱㅊ다고 생각하는 편
폰으로 함 컴으로 함?,컴이요
풀업이랑 딥스 좀 하게,s2앞 원형광장쪽 봤던거같은데
프린트 어디서 하나여?,아이패드 사자
피시방 어디가 좋아??,쓰리팝
필수템 알려주세요 😂,이어플래그요
하 왤케 다 별로같지?,Mj
하나정도는 괜찮을려나?,와 진짜 고맙다.. 너 글보고 나 과제 안한 거 생각났어.. 맘 같아서는 밥사주고 싶네
학교는 졸업하고 싶은데,백분위로 따져봐
학교앞에 횟집이있어??,스시킴
학생예비군은 군복입음?,ㄴㄴ 교련복
학식 혼자서도 못먹음?,보여달라고 다 확인한다돈데
학점 따기 어렵나요??,1년전엔 쉬었읍니다
학점 많이 중요한가요?,생각하기 나름이지 뭐
학점 어디서 확인해 ?,통합학사-성적관리-당해성적
"한 8시 반 정도,,,",ㅇㅇ 백퍼많아
한달 얼마정도 나와??,5만원
한달에 얼마정도 들어?,500
한자리만 부탁드립니다ㅠ,꺼억
했을때 렉 걸렸었어??,넹 장바구니가 10~20초 동안 안떴어요
혹시 같이 할사람..?,나나나
혹시 결과 나왔나요??,나온거아녀?? 유닛은 들어왔던데
혹시 과제 있었나요??,네 있어요
혹시 메일 답장 왔니?,읽긴 하셨는데 답장은 안옴
혹시 어떻게 푸나요??,손으로 풀어요
혹시나해서 올려보아요.,헤카림 나가지 읺을까?
혼밥하는 사람 많나요?,눼..저도하는중
혼자 할만한거 있을까?,투더문
"홈페이지에 안나오네,,",무슨 상담같은것도 할껄요?
화공 트랙 확정 났어?,다 대기네
화장실인데 불꺼짐 ㅠㅠ,해결됐네
확실히 오픈북 맞나요?,교수님 누구세요??
휴학 지금 할수있어요?,1학기 불가능
휴학승인나기 까다로워?,신청하면 바로됨 기다리기 싫으면 과사에 전화해도되고
10개 맞으면 b0가능?,제발 7개 C+이라도
10분이야? 30분이야?,오늘 공지하신 30분아닐까?
10시 넘어서까지 하는곳,니치 11시까지!
11시까지 못가면 F임?,나도지금 늦음ㅋㅋ
12시 30분쯤에 ㅠㅠㅠ,카카오택시 가능
12시 넘어서 배달 돼?,가바가
147키로 1인실 ㄱㄴ?,살좀빼
15만원선에 뭐 없을까?,요소수
15분뒤 진로상담인데..,국제교류관 3층
165에 어디까지 올까?,허벅지 반
17학번인데 아는게 없다,고기국수
18일까지만 내면 되지?,18일 오후 3시 30분까지
1번 2번 뭘 더 ㅊㅊ?,난 1
1안보고 2봐도 될까요?,넹 근데 1에 나왔던 사람몇명이 2에나온다고는 하더라구요
1인실 굳이 신청 안하고,나 그냥 운명을 받아들이려고
1학년때밖에 못 듣나요?,진설 몇인가요?
1학년이 참여하긴 빡센가,1학년이 참여안하면 누가함
1학점 남는데 뭐듣지..,듣지마
23개맞았으면 평균임??,평균이상
26도로 맨날 틀고자는데,26도로 올라가짐? 24도가 맥시멈이던데
2달만 하려구 하는뎅…ㅠ,달에 6
2번 답 이상한거 맞아?,어떤거
2시쯤가려는데 어떤가요?,사람 많어요
2학기 대면으로 할려나?,기말전까지는 비대면 거의 확정 아닐까
2학년때도 들을수있나요?,재수강도 많이 하더라
3.8 성적장학금 가능?,나도궁금 3.9인데
30일부터 수업시작이야?,다음주 월요일 아님?
3600원 줬는데 뭐임?,셤보느라 고생했다고
3월2일까지 승인나겠지?,군휴학넣고 전화하면 바로해줌
4번 빠져야 f인가요??,아직도 이런거 물어보는 친구가 있네2학기 들어와서 입학하셨어요..??
4번 빠진거까지 상관없나,4번 f
4학년 선배님 알려주세요,3학년겨울방학이요
"6,7교시 시작했어???",아무도 없음ㄷ
6시에서 7시에...ㅠㅠ,편ㅇㅢ점.....
70점 채우는거 힘들어?,생산건물에서 생산하면됨
77인데 국장 못 받아?,70 이상이면 충족해서 국장 나옴
7주차까지 시험범위야??,따로 ppt수업자료 올려주신거도 없지..?
800반 사람 많나요??,방학때는 항상사람많아요
8월29일로 고정인가요?,진짜에바야
9구간이면 장학금못받아?,10+인데 받앗음
9시부터야 10시부터야?,10시 아닌가??
9시에 했는 불합? 왜?,가까워서?
a이상 받은사람 있어요?,나 중간 87.5% 기말 87.5% 인데 비쁠 85임
B+ 점수 몇부터임???,85일듯
ip설정중만 하루죙일뜨네,지금 나만 이런거 아니구나
lck 3킴 4강 드가자,ㄹㅈㄷㅋㅋㅋㅋ
mb때가 행복했어 그치?,가장 살기 좋았지
N동은 코로나 집합소냐?,문과는 연구실이 없어서 그런가?
ㄱㅈㅇ 교수님 대면이야?,어떻게 됐어?
가서 구경만 할 생각인데,그걸 왜 물어봐 그냥 갸
가죽자켓 입어도 되려나?,지금 시즌이지
각주도 달아야 하나요??,표절률 안 높으면 뭐.. 몇펀데?
강의 자료 안 올려주셔?,그래요? 분명 저번 학기에는 강의 자료 올려주셔서
같이 나가기만 하실 분?,저요!
같이 먹을 분 있나요?!,몇짤?
검사 꼭 받고 가야함??,ㅇㅇ자가진단키트도 됨
결과 진짜 왜 안나오냐?,"작년에 1주일만에 나왔는데, 교수들 사무실 이전등때매 바쁜듯"
경영회계학과는 아닌거야?,경회도 가능
계절들을때 긱사쓸거같은데,찾아보세요~
곧 훈련소 들어간다 ㅇㅇ,ㅆㅎㅌㅊ
공공요금 얼마나오셨나요?,학생생활관 홈페이지 들어가면 정산된 엑셀파일 있어요
공부하는데 막막하네요..,그거 걍 쉽게나옴
공연 어디서 해요...?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ신입생임?
