Q,A
너네 이번주 학교가??,ㅇㅇ 갈라궁
다른 거 이유가 뭘까?,차이나=중국
띄어쓰기 포함인가요??,우린 미포함
몇개정도가 적당한가요?,나도 2개임
뭘 들어야 할까요???,기구학 ㄱㄱ
분반마다 다 달랐나요?,그건 비밀%
수요일 과제 있었나요?,ㄱㅈㅅ교수님
시험 공지 해주셨나??,화요일 2시
시험 범위 포함이려나?,나도궁금..
신청하면 거의 되나요?,과마다 달라
어디까지인지 아시는분?,배운 데까지
어떻게 해야하나요..?,보풀제거ㄱㄱ
언제 쯤 승인 되나요?,화요일 오후
여가부 진짜 폐지될까?,제발 자라고
영화 감상문 다 씀??,오늘 쓰려고
이제 닌텐도하는사람없나,나 하고있어
저도 남자입니다 ^ ^,사주시나요?
족보있으신분 계신가요?,나두궁금..
졸업학점 몇필요하나요?,직접찾아보자
줌 카메라 켜야되나요?,저도 들어용
토질역학 노오븐북임??,누가그럼??
파이썬 못하는거 정상?,몇학년인데?
필수템 알려주세요 😂,이어플래그요
학생예비군은 군복입음?,ㄴㄴ 교련복
2시쯤가려는데 어떤가요?,사람 많어요
경영회계학과는 아닌거야?,경회도 가능
계절들을때 긱사쓸거같은데,찾아보세요~
기공 선배님 계십니까??,예 있숩니다
나만 혼자야.. 또 나만,둘이 친구해
누가 부르고 있는거같은데,원형광장!!
다들 시험공부하고있니??,너 누구야!
답 맞춰보실분 계실까요?,교수님 ㄴㄱ
동영상 재생이 안 되는데,저도여...
문 잠겨있진 않겠지..?,엉 쓸수있어
문자온거 가는사람 있어?,너 갈꺼야?
뭐로 선택해야하나요?ㅠㅠ,학부편입생!
샤워기 필터 필요할까요?,ㄴㄴ 괜찮음
시험범위좀 알려줘요...,오픈북이야?
안물어보는게 낫겠지..?,나도 고민…
어디 있어? 먹고시푸…ㅜ,라니마라탕?
어디서 보는지 아는사람?,10시아님?
이번에도 적분표 주려나?,적분표..?
정원 안 뜬 건 뭐야??,1학년꺼같음
조언 좀 구하고 싶습니다,공행입니다!
지금 핸드폰으로 안되던데,자동배정돼요
철회 승인 잘해주시나요?,헐왜 버텨봐
체크리스트 내야하는데ㅠㅠ,ㄴㄴ 안열려
카드키 잃ㅎ어버렸어요 ㅜ,들아왔어요?
텍서지 풀강 하나요???,싸강이세요?
텐츠 결과 나왔나..?!,나도 안왔어
학교 서점 내일 열까요?,과연...!
해 본 사람 있어..?!,날짜지났던데
해 지고 나가는 게 낫나,해 거의졌어
1월 3일부터인건 알겠는데,3 29인가
1학기 하고 휴학하면 됨?,혹한기 두번
32분걸리는거 맞지..??,그쯤 걸릴듯
5학년은 안한다는 가정하에,알아서 하셈
국밥6000원이면 혜자임?,혜자는 아님
끝나는 시간 막 적어줘.!,대전광역시~
둘중 하나 가려고 하는데!,니치도 12
드럼인지 통돌인지 알아??,감사합니다!
몇 시부터 먹을 수 있음?,아침 안줘요
비대면인 수업 없겠지..?,있음 교양에
빌넣 기간이 어떻게 돼요?,담주 화까지
순대차 왔나요??? 제발요,나두 순대조
시험 공지 아직없는거지??,어느요일인데
아이스크림 넣을 수 있어?,한밭관은 됨
어떻게 해야 할지 모르겠어,검사해봐야지
왜 없지? 없는거 맞지??,시험전주라?
우리학교 그런거 지원안해?,ㄴㄴ 알아서
원래이렇게오래함? 왜안오지,당첨인데??
월요일에 안 나가도 되나요,나가면 좋음
저렴해보여서 이거 사려는데,맛있을거같아
점수 많이 감점인가..??,교바교 ..
좀 많이 어렵겠지...??,난 포기했음
지금 가입할만한거 있어??,너 뭐 돼?
하..오픈북이 왜 안돼..,답안 있음?
학교장학금 말고 국가장학금,1차는들어옴
학식 먹는 사람도 많나요?,매 우 많음
햇볕 너무 눈부신데????,내 얼굴처럼
130km 쌉불가능? ^^?,가능성 낮음
7주차는 과제 없는거 맞지?,?? 공지봐
hanbat and you?,Wyrano
걸어가면 나만 다리 아파??,나돜ㅋㅋㅋㅋ
고딩친구들에 비해 정안가냐?,ㅇㅇ비지니스
기숙사 앞 운동장에서 할건데,몇명인데??
남자인데 어떤 게 좋을까요?,1. 어피치
다들 과제 슬슬하고계신가요?,과제 있음?
대전시티즌 홈경기 보러오실?,2부딱 안감
더많이 들으면 인정 안해줘?,19학번부터
메뉴가 안뜨네요 에타에 !!,홈피엔 있음
바닥이 너무 따뜻한데 설마?,에이 설마…
방학에도 들어갈 수 있나요?,계절때 가능
빌려주실 분 계신가요? ㅠㅠ,집주소 좀요
소스 파일은 왜 주시는거야?,직접해보라고
심선도 분반따라 가야되나요?,전필만일걸요
아 어제 했어야 했는데 ㅠㅠ,친구야...
아는 사람?? 까먹었더 ㅠㅠ,추석 당일만
아직 링크 없는거 맞아???,오후반이야?
아할메 어디가 젤 가까워요?,아할메..?
언에듀 스퍼비 공연중인가요?,옴 ㅃㄹ오셈
오늘 시험 오픈북이야...?,엉 인쇄물만
우리들의 mc 버거형 아님?,ㅋㅋㅋㅋㅋㅋ
장학금 언제쯤 줄 거 같니?,ㅇㅈ 언제줌
제발 업뎃 안된거라고 말해줘,업뎃 됐던데
집안제사로도 공결가능한가요?,하겠습니까?
축제 부스가서 받아본사람??,받아보고싶어
타코야끼 트럭ㅡ 왔엉????,아까 있던뎅
폰으로 아님 노트북으로 …?,피방 올클함
한밭복사에서 책복사하셨나요?,교수 누구?
2차 맞고 안아파서 좋네 ㅋㅋ,물주사임 ㅋ
4문제중에 몇 문제 풀었어요?,필규홀릭ㅋㅋ
ㄱㅎㅈ 교수님 시험 언제야?!,기말만 봐유
그냥 그 수업 안가면 되나요?,그렇지않을까
기초특강 하는 사람 많아요??,많이 없어요
긱사에서 다이소까지 ㅈㄴ먼데?,"꽤나멀다,,"
나도 하고 싶다.. 개강...,혹시 군대?
나만 접속 안되는건가...??,블루투스키고
내년 1학기에도 그러겠죠..?,아무도몰라요
도서관 24시간 개방 맞나요?,예지관 2층
ㄹㅇ이야? 엠티가서 쌈났다던데,ㄷㄷ ㄹㅇ?
몇 시부터 된다..??????,8시..?!
ㅇㅈㅅ 교수님 오늘 휴강임 ?,오늘 아님?
오늘 셤보고 수업 끝인건가요?,멀라유~ㅅ~
이것도 전공으로 봐야 하나요?,특화로 따로
자가진단키트 구하기 힘두렁??,오잉 아니?
잡음이 왜이렇게 많이 들리냐?,그거 6층임
저기 오늘 수업 없나요…?….,산공과에요?
ㅋㅋ 팀던 3개월치 끊어놨는데,팀던 조음?
커스텀 버튼 사진 어케햇옹??,걍 아무거나
학교 도서관 매일 문 여나요?,생각중입니다
학교에 피아노 칠 곳 있음??,우리집와서쳐
학생회비도 있고 과비도 있나?,그게 그거임
22점이면 절대 복구 안되겠지?,저도 22임
2년 연속으로 받을 수 있어??,응 나 받아
50명 있으면 그중 몇등 해야함,40등아래?
9시에 여나요 10시에 여나요?,10시입니닷
가본 사람 머리 잘 함? 남자임,거기가 어디
과제 다 풀으셨나요......?,그럴리가..
그럼 B이상 맞으면 되는건가요?,b+이랑 a
나보다 늦게 끝나는 사람 있냐?,다담주 수욜
낼 비오니까 반팔은 좀 춥겠디?,후드 ㄱ ㄱ
데이터통신 안들었으면 힘들까요?,아마요 ㅜㅜ
사려고 하는데 클론인가용 ?.?,클론이에요…
사장님께 한마디에 뭐라고 적어?,마 뽑아주쇼
심리분석 이런거 인기있는 이유점,핵심교양이라
언제바뀜? 원래 커피팔지않았나?,커피 팔자나
열었넹 오늘부터 점심에도 여나?,맛대가리없음
옷 다 빨아서 니트 밖에 없는데,낮에 개더워
이메일 아시는 분 계신가요..?,산공인 ㅎㅇ
줌수업 나만 시작 안되는거야…?,저도요...
지금 NH뱅킹으로 등록금 안돼?,어젠 됐는데
책 22년도꺼 사야되는거 아님?,아직 없던데
총학에서 어케 해줄수 있음..?,어케할라고?
출입문 잠겨있는데 어케 열어??,열려라 참깨
컴퓨터 맞추는데 잘못시켰다...,프랙탈이여?
타과생이 들어도 안어렵나요???,신청가능해?
하는 분들 용돈 얼마나 받아요?,20만원이요
혈관 등록하는 사람들 많겟지?!,별루없을듯?
10분 늦어도 지각 처리 되나요?,ㄴㄴ 꼽은줌
그래서 10분동안 뭐하라고...?,교수 ㄴㄱ?
그리고 4학년은 안 뽑겠죠...?,purple
근데 학생회비 안내면 왜 못 씀?,누가 그럼?
긱사(신관) 헬스장에 렉 있나여?,그런건 없다
꽉 찼는데 어떡함?????????,다음에 들어
나 지금 하고 있는데 하는새럼!?,모하는거야?
나랑친구하장 내가 여자라 여자만ㅜ,과 어디야?
네이비 vs 브라운뭐가 더 나아?,1. 네이비
다들 한울회 합격 메일 받았어??,ㅇㅇ 개좋다
명단에 내 학번이 없어...뭐지?,전화 드려봐
사람은 좋은데 생활패턴이 반대라서,안되는걸로앎
신발사려는데 제품 깨끗하게오나요?,ㅇㅇ 새제품
아님 교재내용 30문제만 보는거임,에세인 다음
아예 시작을 못하겠는데 어케함??,몇단원함??
아파트 방향이야 인재동 방향이야?,남향은 맞음
여기 종이 자기가 가져와야하나요?,ㄴㄴ ㅋㅋㅋ
우린 지금 캡슐안에있고꿈이라고해줘,얼른 깨어나
월요일 9시카카오 주식박살나는소리,사야돼 이건
은행동에 혼자 옷보러 잘 다녀??,나는 잘다녀
잘하는 곳 아시는 분 계신가요 ?,어디가아픔?
쪽지주세요.. 참고로 저도 인프피,몇살이세요?
책에 베껴쓴거 걸린거야? 개빡도네,무슨일인거니
출석률은 20퍼인데 절평이에요!!,절평 쌉간ㄴ
코로나 다 나은 다음에 내는거임?,ㅇㅇ격리후에
ㅍㅌ? 상대평가라 기준을 모르겠네,나 4.36
하얀책상 재밌더랑 같이할사람있응?,모바일이야?
학식 맛있나요? 가격은 얼마여유?,같이 먹어요
해보신분? 보통 얼마 정도 하나요,졸라 아파요
혹시 탁구 부수 높은분 있나요??,몇부치시나요
화질 올리는 어플 어떤거 쓰세요?,그런게있나요
10주차 웹어싸인 과제 나만 안뜸?,나도 안떠~
7시 대기 중 12시까지 할 예 정,평딜 몇이냐
계산할때 루트 유리수로 바꿔 쓰나?,계산기쓰는데
계속 확진되는데 대면시험이 말이됨?,ㅇㅇ 말은됌
교수님 열역학 셤범위 어디까지게~?,배운곳까지~
근데 진짜 너무 까다로운 교수님임…,참고로 전공
내년에 복학인데 대면할 수 있을까?,ㅇㅇ무조건임
몇시간까지임?국가근로는8시간이었는데,똑같을걸~?
뭐가나음? 밑에보면서 과대망상해봤음,돈많이버는거
밴드부나 연극부 들어가는 거 비추?,뭔 상관이야
붙으신분 계신가요? 결과 나왔나요?,결과나왔어요
사람아직있네 그냥 불켜놓고 간건가?,사람 삽니다
살라 20골킹갓흥민 17골 각이냐?,득점왕가보자
새벽에 보자구 한친구 지운거실수야?,오 썸탔어?
서류제출하고 오늘 수업 안들어도댐?,줌강의면 ㅇ
수강신청 앱 안알리던데 어케 넣어?,어그로 ㄴㄴ
아는 분!!!!!??!??!?!?!,11 ~ 2
아이폰 13 vs 아이폰 12 프로,갤럭 s22
안아파도 자기전에 타이레놀 먹음 ?,아프면 먹음
어케 풀어야 해?쪽지로 알려주라..,루트풀어서해
여자친구는 어떻게 만드는걸까...?,너는 못만듦
오늘 녹강맞죠?  왜 안올라오징..,그니까요..
오늘 오지??? 몇 시부터 와 계셔,4시 반쯤?
ㅈㄱㄴ 이번 방학때도 발열 뽑으려나,12월 초에
전선 하나빼고 다들어야 졸업되나요?,ㅇㅇ 그럴걸
전쟁하나 조사해서 3쪽 채우는거야?,전쟁 3개!
지금 학기초라서 사람 많은거겠지??,사람 많음?
첫 수업때 오티해서 일찍 끝나나요?,오티없을텐데
평균60점중에 70점이면   b지?,b~b+??
6전공 3.75인데 불가능이겠지..?,아슬아슬할듯
community 맞나요? 왜 안되지,요새 안돼!
군휴학 하려면 증빙서류? 내야하나요?,네 영장이요
다들 퇴실했나? 내일 퇴실할건데 ㅜㅜ,나 내일해~
두 근의 합 구했는데 틀렸다고 해서요,근 하하하하
마지막줄 cos이 아니라 sin아님?,왜 sin?
맵으로보면 가까운데 30분안에 ㄱㄴ?,3분도안걸림
발표 피피티 제작 얼마나 걸리시나요?,보통 3시간
백반말고 다른 추천할만한 메뉴 있음?,새로운 백반
별이나 행성 보러다니는 동아리 있나?,재밌을거같다
본가 가야하는디 수업 절대 안하겠죠?,안해요 ㅎㅎ
비싼편인가요? 보통 얼마정도 하나요?,10만원이용
생산관리 시험지 쉅시간에 나눠주나요?,다시 걷어감
셔틀버스랑 임차버스랑 뭐가 다른거야?,"노선, 빈도"
수업형태변경기간에 하면 되나요..??,학과전화ㄱㄱ
아직도 확정 안떴으면휴학 못하는거임?,과사에 전화
어케 함? 고지서에 납부 됐다고 뜸?,고지서잘봐봐
언제까지야??.. 26일 까지 맞아?,카톡오자나요
예약 잡으면 오늘 안에만 가면 돼??,최대한 빨리
오늘열였나요? 지나가다 보신분...?,조나를 햐봐
오랜만에 밭대가는데 뭐뭐 요즘 있나?,뭐가있음??
우리 혹시 아이유콘 차 대절 있나??,있을것같은데
이거 4학년대상 모집은 아니겠지..?,그게 뭐야?
이거 그냥 소형으로 하고 하면되나요?,ㅇㅇㅇ 소형
이거 중간고사 시험 과제로 대체야??,29일에봐요
이걸 가 말어..아직 고민중..아..,가야지 ㅋㅋ
이해 안 되는거 있는데 물어봐도 돼?,2학년이야?
자취하려면 수입이 어느정도되야하나요?,80~100
재밌어 재밌다니까? 아니 재밌어 하하,혹시 sp?
존 나 맛 있 다 나 왜 소주 없어?,맛평가 해줘
"진짜 얼만큼 아파,,? 나 무서워..",나 레이저함
코로나 만 명 찍으면 비대면 쌉가능?,희망을 버려
토익 봣는데 보기만해도제출하면유닛줌?,모의토익말고
파이썬만 배워서 C++ 아예 모르겠음,마이프로틴?
한달에 얼마내고 다녀?? pt 말고!,나는 5만원
한번도 안해봤는데 장 당 얼마인가요?,컬러 200
헉교 앞은 19:30이라 이미 늦어서,함 전화해봐
화학2 또는미적2 안하는 사람 있어?,나.. ㅋㅋ
1학기때 들었는데 책이 필요할까요..?,나중에?..
27일 오늘 10시에 신청하는날 맞죠?,예비군이요?
for 문을 어디에 써야 맞는 거임.?,그거 어렵냐
교내 서점 일요일은 몇 시까지 하나요?,리오넬 메시
근로시간 입력 못하면 어떻게 하나요??,교내근로요?
나만 아직 안돼? 오후되면 될줄알았는데,상담 해야됨
다들 미적2  기말점수 어떻게 나왔어?,몇점 나옴?
들으시는분 40문장 다 외우셧어요..?,아뇨  ㅅㅂ
뭐가 나을까??25만원 정도 생각중인데,삼성페이써~
밑에 뭐 하니? 쿵쿵 소리 많이나는데?,그거 7층임
받으려면 백분위 몇은 되야해?? c기준,3.8정도면
소득분위 몇이었는지 알려줄 수 있어??,저 3분위요
싸이클 그거 답 -10이라던데 맞음??,교수피셜임?
알기쉬운 실용금융이랑 경제와 사회 중에,알기쉬운 ㅅ
오후 10시까지 이용 가능한거 맞나요?,전화를 하셈
우리 학교 긱사에 격리동 같은거 있어?,격리동 있음
이혜영?씨 놀이터 벤치에 올려두고 가요,좀 가려주지
인터넷에는 안올려주나? 일하는게 뭐임?,너가쳐하던지
ㅈ땐거임? ㅅ간 없어서 그냥 제출했는데,ㅈㄴ잘한거임
중고차 사려고 하는데 lf소나타 어떰?,가성비 좋음
진급학점 못 넘으면 어떻게 되는구야??,진급을 몬해
토트넘 울버햄튼 카라바오컵 보고 싶은뎅,굿라이브티비
혹시 다들 티켓에 좌석 번호 적혀있어?,엉 적혀있어
ㅠㅠ 급하게 사야하는데 일요일도 여나요,오늘은열어요
pcr 확진판정 나왔는데 이제 뭐해야함?,박혀있어야지
2시간 컷 가능?,1시간도 가능
가격이 제각각이라,02월 03일
급하니까 말해주라,공지를 보세연
나 한글로 했는디,나도 한글로함
동맥 그거 하나?,안하면 좋겠다
뒤지는 병 있음?,난 안 뱉는데
많이 떨어졌나요?,네 개망했어요
먹으면뭐먹어?.?,나는 미숫가루
무슨과 어디서함?,왜 너도오게?
뭐가 다르지..?,이름이 달라!
복사 가능한 곳?,아임일리터 옆
사전투표 생각하면,사실상 승리임
성적에서 볼수있음,넌 몇점인데?
시험도 안 보지?,교수님 맘이지
시험들 잘봐 ㅎㅎ,화이팅 ㅠㅠㅠ
어디서 틀린거야?,c대문자아님?
어떻게 세탁해??,손빨래 드라이
오늘 점호하나요?,헐 진짜요??
월세 얼마정도야?,35~25사이
이거 맞지 않아?,"괄호 였음,,"
일단 너부터 ㅋㅋ,너무쉽노 ㅋㅋ
장바구니 담아짐?,ㅇㅇ 상담함?
정정기간 언제야?,개강하는첫째주
제발 알려줘...,웅웅 비대면임
제발 오라고 해줘,왔어내가불렀아
제출해도 되나??,교수님 누구셔
지금도 하나요??,11시부터요!
책 사야되는거야?,ㅌㅇㅈ교수님!
ㅋㅋㅋㅋㅋㅋㅋㅋ;,씥 저거 뭐야
탁구칠만한곳있나?,탁구클럽많잖아
23점인데 무리일까,기말로 커버해
2개나 놓쳤는데..,2학년때 노려
가면 알려주나..?,아침에 카톡옴
결과 언제나와 ??,고지서 나올때
과제 다 풀어야함?,ㅇㅈㅅ ㅅㅂㄴ
국립대라 싼편인가?,되게 비싼편임
기말만 잘 봐도됨?,비율을 봐야지
기억이 가물가물하네,가물가물가물치
난이도 상 중 하?,중정도 아닌가
남사진잘찍는사람??,나 ㄹㅇ 보장
내일 수업하는거야?,오후반은 안함
다들 아직 대기지?,무한대기중..
다들 학점 뭐임??,비제로....
따로 공지가 없어서,엥 휴강이야?
맘스터치가 맛있니?,몬스터와퍼 ㄱ
몇시시험이죠...?,ㅇㄱㅊ교수님?
문토 어플 써봤어?,왜??????
바뀌는 주기가 ??,1년에 한번?
밤에도 출입가능해?,아니 그럴리가
스펙 높아야해???,토익900이상
시험보는데 무슨일?,누구 다쳤어?
ㅇㅊㅁ 교수님입니다,ㅇㅇ 있어야햄
아니면 동네 병원?,그냥 가까운데
아님 종이를 주시나,종이 따로주심
아예 못알아듣겠는데,스스로공부하자
안가는거지?가야돼?,ㅇㅇㅅ교수님?
어제랑 비슷한가요?,비는 덜오는듯
이게 무슨일이람..,말이안되는데?
있냐? ㅈㄴ어렵던데,100점같은데
있으신분 있나요?!,기숙사에 있음
재수강 꼭 해야됨?,안해도 졸업됌
저녁 먹고시푼뎅..,ㄴㄴㄴㄴ 안함
전화 온사람 있어?,나도 안옴 ㅜ
점수 잘 나왔어??,ㄴㅈㅅ교수님?
주말에도 문 열어?,몇시까지 해?
지금 에어컨 켜짐?,성실동은 켜짐
지금까지 없었지??,예 없었습니다
지금도 에어컨 됨?,9월까지도 돼
ㅋㅋㅋ쓸게없는데 ㅠ,2장은 써야함
카드를 잃어버려서요,24시간 당직
퀴즈 오늘 보나요?,안보길 기도중
포기한 사람 ???,반 포기...
하는사람 있나요??,하고시퍼요ㅠㅠ
학생수때문은 아니고,학생수 일걸?
환산인자 외워야함?,외어야되지않나
10시야? 12시야?,12시 아냐?
갈수있나요 재학생도?,"되겠냐구욤,,"
같이 헌트보러갈사람?,남잔데 가능?
걍 시켜도 ㄱㅊ겠지?,뭐 시키는데?
국룰대로 10시인가?,진짜 몇시임?
기말고사 언제인가요?,6월18일이요
나만 망했지? ㅋㅋㅋ,나도 ㅋㅋㅋㅋ
나만헷갈리는거많앗음?,ㅈㄴ 쉬웠는데
"내년부터 대면이야,?",이건 확실하지
대형마트 어디로 가?,교수님 연구실
동아리 들어가도 됨?,안될거 있나요
듣는 사람 있어..?,나 목요일수업
많이 어려운거요..?,아뇨 좋아요~
며칠까지 인정 돼요?,"당일, 그담날"
뭐긴뭐야 밭대생이제~,영원한 밭붕이
비용 얼마정도 들까?,09월 10일
시험 다들 잘봤어??,대답 다했어?
싱글임? 슈퍼싱글임?,내방은싱글..
아니면 그냥 무시해?,010만 받음
아이패드 어디서 사?,학생복지스토어
"왜 종강 안하지,,?",계절학기인듯?
유재석 코로나 확진?,돌파감염이래여
인기 많은 과목이야?,영국시가 뭐임
자취방 밖에 시끄럽네,오늘 축구있음
장학금 언제 발표남?,다음주는지나야
저만 어려웠나요???,존나 어려웠음
전수환... 개념심화,얼마에 양도?
점수가 떨어졌다..?,난 그대로던디
정형외과 가야하나요?,그거 코로나임
줌 캠 켜야하나요??,택배받을때??
줌으로 뭐랬니...?,문제만 풀어줌
지금 다니는 사람??,인강만 듣는중
지금 들어갈수 있나?,방 남으면 돼
통합학사에서 하는건가,이메일 보내요
퇴근해야된다 이건가?,ㄹㅇㅋㅋㅋㅋㅋ
포장비 따로 받아??,거기 맛있어?
포차끝판왕은 망했어?,망한거 같던데
폰바꾸고 기억이안나네,이게머야???
휴학이라 문자가 안옴,어제는 82명
406  맞나오오~~?,마법관리 ㄷㄷ
8주차.. 아닌가…..,18일 맞아요
lc빼고 다 되는거임?,맥북왜씀 ㅋㅋ
가성비인걸로 추천좀 ㅠ,가성비는다이소
같이 면접보러가쟈 ㅋㅎ,너밖에 없어;
과대는 왜 필수인거야?,필수 아닌데?
교내근로 출근부입력돼?,지금은 안될걸
납부 아예 안하는건가?,0원 보내야해
니코틴 따로 섞어야댐?,한두방울만..
들어보신분 계신가요??,유성? 둔산?
맛있어엉어ㅓㅓ?????,진라면생 별루
빵식이면 좋겠는데 제발,씨리얼만 나왕
사람 많아요??????,ㄴㄴ별로없더라
서울대:??? 그래..,카이스트: ?
성적 잘주시나요...?,나도 걱정이네
온다고 미리 알려주지?,난 안알려주심
온라인 강의 올라와있네,너 출튀했어?
용돈으로 옷사고 싶은디,8월 중순쯤?
우린 연예인 안 와 ?,축제 다음달임
원정 다득점 사라짐??,네 없어졌어요
음식 먹을 수 있나여?,이게 질문임?
일본어과분들 알려주세요,과제 많을 듯
잡앗는데 어떰? ㄱㅊ?,둘다 ㄱㅊㄱㅊ
저 남자인데.. 가능?,남자끼리 ㄱ?
졸업논문 몇장 쓰셨나요,캡스톤 안함?
타코야끼 먹고 싶다 ㅠ,월 목 오셔요
프린트 어디서 하나여?,아이패드 사자
"한 8시 반 정도,,,",ㅇㅇ 백퍼많아
혹시 어떻게 푸나요??,손으로 풀어요
휴학 지금 할수있어요?,1학기 불가능
"6,7교시 시작했어???",아무도 없음ㄷ
lck 3킴 4강 드가자,ㄹㅈㄷㅋㅋㅋㅋ
ㄱㅈㅇ 교수님 대면이야?,어떻게 됐어?
가죽자켓 입어도 되려나?,지금 시즌이지
교수님이 말씀해주시나요?,계획서를 보셈
기술경영 책 뭐사야됨??,다들 샀나해서
기타도 꼭 써야 하나요?,매주 미치게씀
나올만한거 뭐있어????,배운게 없는데
나중에 교환학생 못감 ?,ㅇㅇ그러지않냐
난 집무너져도 잘사람인듯,그러다 의문사
내일 수업 없는 거야??,넵 대신 과제
누가 마이크 킨 거임??,무슨일있었어?
다들 몇 시에 퇴실해??,11월 30일
다들 잘 봄? 난 개망함,나도 한자리수
다들 조별 얼마나했어??,시작도 안 함
다른과 전선 못듣나???,들을 수 잏음
둘중에 어디가 더 좋앞?,비슷하던데!!
마스크 완전 탈피 가능?,얼마나 남음?
몇시까지 먹을수있나요??,11월 02일
밭대 어떤과가 주로 봄?,화생공 건환공
산디 ㅇㅅㅇ교수님 어때?,뭔 과목 하심
알려주시면 감사하겠습니다,실명같은 익명
오천웡짜리도 입금되나요?,천원도 됩니다
올해 현암기 열리나요??,그게 뭐예요?
왜 갑자기 술냄새가 나냐,손소독....
왜 피시방 화장실에 있지,붙이는건 맞음
이거 지금 된건가여?ㅠㅠ,밑에를 찍어봐
이번 과탑 학점 몇임??,내친구 4.5
잘 푸신 분 있나요~??,쉬웠지않아요?
장소 이거 맞지 않아??,시험보러감??
저번에 중간때 몇ㅇ엇냐?,11.8개요!
충전기꽂을 콘센트있나여?,보통 다 있죠
피피티 몇장정도 해야해?,보통 5-6장
한밭관 갈 수 있을까요?,애매함....
9시에 시작한 거 맞나요?,미래동은 오후
가보려고 하는데 어떤가요?,헉 돈 존 많
같이 배드민턴 할 사람?!,언제 어디서?
게시판이용자 라는 뜻이야?,게이게이야..
글삭 됐는데 내용이 머임?,화생공회장맞지
누구오는지 아는사람 있어?,소녀시대 온대
다들 몇장정도 나오셧나여?,열심히 하는중
다들 어버이날에 뭐해드려?,신발 사드리지
다른사람도 볼 수 있어요?,교수님만 봐요
다음주 시험 나 왜 과제?,교수님의 배려
담주까지 과제 있다던데;;,엥 중고샀어?
돈 부족할때 머해먹고살아?,쿠팡 나중결제
드랍할 사람 계신가요 ㅠ?,"수강취소 ,,"
몇시까지 하는지 아나요??,그런게잇었나요
뭐하냐..? 개시끄러워;;,ㄹㅇ 여자애들
소녀시대 태연 똑같이 생김,우와! 쩐다!
수강신청 어떻게 하셨나요?,월욜날 해야지
실험수업은 절대평가인가요?,교수님 맘이죠
악어동아리는 활동안하나요?,활동 안함??
언제까지인지 아시나요 ?!,2시까지래요!
언제쯤 공지 올라오나요??,이미 뽑았는데
여성학 발표해야대나요??ㅜ,하는 걸 추천
오늘 아침 맛있었나요..?,야무지게먹었지
유성구 예비군훈련장입니다.,오 같이 갈까
이번년도에는 없어졌나요??,활동은 합니다
이번에 절평같은 상평인가?,상평같은 상평
재발급 어케 받아?....,행정실에 문의
저희 종강 언제하나요?ㅠㅠ,12월 15일
종강임? 이제 안가도 돼?,알려줘 얘들아
추가모집 언제인지 알아요?,아직 안올라옴
축구하는 사람 있음!?!?,축구 재미겠다
친구0명인데 어떻게하나요?,걱정하지마세요
헬프룸 하는 사람 있나여?,오늘 헬프룸함
27만9천원 넘 비싼거같아서,100퍼 떨굼
2주차 다시보기 보여 ? ㅠ,아직 안보여!
8일부터 주울수있는거 맞지?,내일 못주움?
거의 문제집에서 나오나요??,문제은행만 ㄱ
그냥 지좆대로 운영하는거임?,그런게 있었나
그럭저럭 잘 산거겠쥐!?!?,싸게 잘 샀네
근로 해보신분?? 오때요??,제일 힘들걸?
긱사 취소할라면 어케해야됨?,입사포기신청서
내 윗방엔 킹콩이 사는건가?,여주 이뻐여?
낼 줌수업있어? 아님 녹강?,ㅇㅅㅈ교수님!
마케팅관리 책 다들 사나요?,저 구매했어요
방금봤는데 이미 나와있네요?,엥 기말이요?
사이트 나만 로그인 안돼??,나도 안됨..
생일선물로 받고싶은 선물은?,에어팟 프로!
쓴 사람..분량 얼마야..?,두쪽.. 넌?
아무래도 손님들도 많이올거고,ㅇㅇ ㄱㅊ을듯
알려주시면 감사하겠습니다!!,장당 200원
예비군 신청 10시에 열림?,오후에 열린대
와 죄다 정원이 2명씩이야?,1학년전용이라
왜이리들 어깨넓은 사람찾냐?,그건 원래..
정문쪽에 ㅁㅊㅂㄱㄱ 맛있어?,마초는 불고기
정수기 너무 오래되 보이던데,어디동이길래?
정정 기간에 해야 하는건가?,저두 궁금해요
중간고사 점수 확인한사람 ?,성적 나왔음?
중에 뭐가 더 괜찮은가요??,합문논 재밌음
진로설계 1번 빠져도 ㄱㅊ?,3번까지 될걸
짝수답은 어케 알아여? ㅜㅜ,나도 몰라연-
최현주 교수님 수업 어때요?,개꿀강! 강추
한치수 작게 사는게 맞아용?,아 옷이에요!
2번한거 같은데 ㄱㅊ..겠지?,해도 되나요?
급하게 미용실 가야되는데 ㅠㅠ,남자? 여자?
기모 후드티 입으면 더우려나?,집 언제가는데
나는 경상도 출신인데 쌈장인데,초장이나 소금
대면 강의실 안 알려주시나요?,대면이라고요?
들어야하는 학점 안정해져있지?,9이상 아님?
몇시쯤 들어오나요 평균적으로?,10 or 2
밭대에 전문직 수험생있음???,있겠지 당연히
배달 시키시면 어디서 받나요?,자동문 있는데
벌점 있는지 확인 어떻게 해?,구라임 그거.
선착순인데 왜 바로 안알려줌?,내일부터잖아;
아니 다들 어떻게 푸는거야??,몇단원 이요?
아님 뾱뾱이 따로 구해야 하나,뾱뾱이 있어!
앱에서 봤는데 자리 하나도없네,앱믿지마셈 ㅋ
